22RV1	SRR8616169	ACH-000956
2313287	SRR8616168	ACH-000948
253JBV	SRR8616167	ACH-000026
253J	SRR8616166	ACH-000011
42MGBA	SRR8616173	ACH-000323
5637	SRR8616172	ACH-000905
59M	SRR8616171	ACH-000520
639V	SRR8616170	ACH-000973
647V	SRR8616165	ACH-000896
697	SRR8616164	ACH-000070
769P	SRR8615643	ACH-000411
786O	SRR8615642	ACH-000649
8305C	SRR8615645	ACH-001306
8505C	SRR8615644	ACH-001307
8MGBA	SRR8615647	ACH-000137
A101D	SRR8615646	ACH-000008
A1207	SRR8615649	ACH-000283
A172	SRR8615648	ACH-000558
A204	SRR8615638	ACH-000201
A2058	SRR8615637	ACH-000788
A253	SRR8616018	ACH-000740
A2780	SRR8616019	ACH-000657
A375	SRR8616020	ACH-000219
A3KAW	SRR8616021	ACH-000697
A427	SRR8616014	ACH-000757
A498	SRR8616015	ACH-000555
A4FUK	SRR8616016	ACH-000157
A549	SRR8616017	ACH-000681
A673	SRR8616012	ACH-000052
A704	SRR8616013	ACH-000429
ABC1	SRR8615407	ACH-000528
ACCMESO1	SRR8615406	ACH-000086
ACHN	SRR8615405	ACH-000046
AGS	SRR8615404	ACH-000880
ALLSIL	SRR8615411	ACH-000105
AM38	SRR8615410	ACH-000269
AML193	SRR8615409	ACH-000557
AMO1	SRR8615408	ACH-000838
AN3CA	SRR8615413	ACH-000940
ASPC1	SRR8615412	ACH-000222
AU565	SRR8615774	ACH-000248
BC3C	SRR8615775	ACH-000593
BCP1	SRR8615772	ACH-000923
BCPAP	SRR8615773	ACH-000456
BDCM	SRR8615770	ACH-000080
BEN	SRR8615771	ACH-000603
BFTC905	SRR8615768	ACH-000802
BFTC909	SRR8615769	ACH-000792
BHT101	SRR8615776	ACH-000191
BHY	SRR8615777	ACH-000548
BICR16	SRR8616121	ACH-000503
BICR18	SRR8616120	ACH-000992
BICR22	SRR8616123	ACH-000794
BICR31	SRR8616122	ACH-000228
BICR56	SRR8616117	ACH-000771
BICR6	SRR8616116	ACH-000415
BL41	SRR8616119	ACH-000245
BL70	SRR8616118	ACH-000402
BT12	SRR8616125	ACH-000160
BT20	SRR8616124	ACH-000536
BT474	SRR8616195	ACH-000927
BT483	SRR8616196	ACH-000818
BT549	SRR8616197	ACH-000288
BV173	SRR8616198	ACH-000432
BXPC3	SRR8616199	ACH-000535
C2BBE1	SRR8616200	ACH-000009
C32	SRR8616201	ACH-000580
C8166	SRR8616202	ACH-000206
CA46	SRR8616193	ACH-000440
CACO2	SRR8616194	ACH-000003
CADOES1	SRR8615273	ACH-000210
CAKI1	SRR8615272	ACH-000433
CAKI2	SRR8615271	ACH-000234
CAL120	SRR8615270	ACH-000212
CAL12T	SRR8615269	ACH-000826
CAL148	SRR8615268	ACH-000902
CAL27	SRR8615267	ACH-000832
CAL29	SRR8615266	ACH-000142
CAL33	SRR8615265	ACH-000518
CAL51	SRR8615264	ACH-000856
CAL54	SRR8615315	ACH-000457
CAL62	SRR8615569	ACH-000174
CAL78	SRR8615527	ACH-000516
CAL851	SRR8615528	ACH-000857
CALU1	SRR8615533	ACH-000511
CALU3	SRR8615534	ACH-000392
CALU6	SRR8615531	ACH-000264
CAMA1	SRR8615532	ACH-000783
CAOV3	SRR8615507	ACH-000713
CAOV4	SRR8615508	ACH-000103
CAPAN1	SRR8615247	ACH-000354
CAPAN2	SRR8615246	ACH-000107
CAS1	SRR8615249	ACH-000464
CCFSTTG1	SRR8615248	ACH-000329
CCK81	SRR8615251	ACH-000963
CFPAC1	SRR8615250	ACH-000138
CH157MN	SRR8616082	ACH-000025
CHAGOK1	SRR8616079	ACH-000867
CHP126	SRR8615526	ACH-000136
CHP212	SRR8616083	ACH-000120
CI1	SRR8616137	ACH-000687
CJM	SRR8616138	ACH-000458
CL11	SRR8616139	ACH-000249
CL14	SRR8616140	ACH-000342
CL34	SRR8616141	ACH-000895
CL40	SRR8616142	ACH-000798
CMK	SRR8616143	ACH-000641
CMLT1	SRR8616144	ACH-000920
COLO201	SRR8616145	ACH-000253
COLO320	SRR8616146	ACH-000202
COLO668	SRR8615793	ACH-000803
COLO678	SRR8615792	ACH-000350
COLO679	SRR8615639	ACH-000805
COLO680N	SRR8615991	ACH-000717
COLO684	SRR8615789	ACH-000864
COLO741	SRR8615788	ACH-000582
COLO783	SRR8615787	ACH-000812
COLO792	SRR8615786	ACH-000968
COLO800	SRR8615618	ACH-000401
COLO829	SRR8615617	ACH-000644
CORL105	SRR8615963	ACH-000161
CORL23	SRR8615425	ACH-000662
CORL24	SRR8615422	ACH-000382
CORL279	SRR8615423	ACH-000257
CORL311	SRR8615428	ACH-000187
CORL47	SRR8615429	ACH-000695
CORL88	SRR8615426	ACH-000508
CORL95	SRR8615427	ACH-000743
COV318	SRR8615948	ACH-000256
COV362	SRR8615949	ACH-000278
COV434	SRR8615956	ACH-000123
COV644	SRR8615955	ACH-000608
CW2	SRR8615958	ACH-000998
D283MED	SRR8615957	ACH-000055
D341MED	SRR8615960	ACH-000095
DANG	SRR8615959	ACH-000243
DAOY	SRR8615962	ACH-000211
DAUDI	SRR8615961	ACH-000786
DB	SRR8615952	ACH-000334
DBTRG05MG	SRR8615953	ACH-000863
DEL	SRR8616006	ACH-000233
DETROIT562	SRR8616007	ACH-000207
DKMG	SRR8616008	ACH-000244
DM3	SRR8616009	ACH-000742
DMS114	SRR8616002	ACH-000530
DMS153	SRR8616003	ACH-000594
DMS273	SRR8616004	ACH-000749
DMS454	SRR8616005	ACH-000844
DMS53	SRR8615998	ACH-000698
DMS79	SRR8615893	ACH-000703
DND41	SRR8615632	ACH-000981
DOHH2	SRR8615631	ACH-000056
DU145	SRR8615300	ACH-000979
DU4475	SRR8615297	ACH-000258
DV90	SRR8615636	ACH-000925
EB1	SRR8615635	ACH-000877
EBC1	SRR8615634	ACH-000563
ECC10	SRR8615633	ACH-000560
ECC12	SRR8615624	ACH-000225
ECGI10	SRR8615274	ACH-000305
EFE184	SRR8615291	ACH-000435
EFM192A	SRR8615292	ACH-000117
EFM19	SRR8615289	ACH-000330
EFO21	SRR8615290	ACH-000308
EFO27	SRR8615287	ACH-000936
EHEB	SRR8615288	ACH-000038
EJM	SRR8615285	ACH-000821
EKVX	SRR8615286	ACH-000706
EM2	SRR8615293	ACH-000295
EN	SRR8615294	ACH-000978
EOL1	SRR8616218	ACH-000198
EPLC272H	SRR8616217	ACH-000585
ES2	SRR8616220	ACH-000906
ESS1	SRR8616219	ACH-000913
EW8	SRR8616214	ACH-000499
EWS502	SRR8616213	ACH-000279
F36P	SRR8616216	ACH-000487
FADU	SRR8616215	ACH-000846
FTC133	SRR8615869	ACH-000903
FTC238	SRR8615868	ACH-000897
FU97	SRR8615735	ACH-000633
FUOV1	SRR8615736	ACH-000574
G292CLONEA141B1	SRR8615737	ACH-000082
G361	SRR8615738	ACH-000572
G401	SRR8615739	ACH-000096
G402	SRR8615740	ACH-000375
GA10	SRR8615741	ACH-000162
GAMG	SRR8615742	ACH-000098
GB1	SRR8615732	ACH-000738
GCIY	SRR8615733	ACH-000047
GCT	SRR8615386	ACH-000835
GDM1	SRR8615385	ACH-000081
GI1	SRR8615384	ACH-000756
GMS10	SRR8615383	ACH-000102
GOS3	SRR8615382	ACH-000027
GP2D	SRR8615381	ACH-000982
GRANTA519	SRR8615380	ACH-000073
GSS	SRR8615379	ACH-000746
GSU	SRR8615389	ACH-000485
H4	SRR8615388	ACH-000389
HARA	SRR8615820	ACH-000843
HCC1143	SRR8615819	ACH-000374
HCC1171	SRR8615818	ACH-000578
HCC1187	SRR8615817	ACH-000111
HCC1195	SRR8615824	ACH-000868
HCC1359	SRR8615823	ACH-000901
HCC1395	SRR8615822	ACH-000699
HCC1419	SRR8615821	ACH-000277
HCC1428	SRR8615816	ACH-000352
HCC1438	SRR8615815	ACH-000891
HCC1500	SRR8616180	ACH-000349
HCC1569	SRR8616181	ACH-000930
HCC1588	SRR8616182	ACH-001078
HCC1599	SRR8616183	ACH-000196
HCC15	SRR8616176	ACH-000878
HCC1806	SRR8616177	ACH-000624
HCC1833	SRR8616178	ACH-000712
HCC1937	SRR8616179	ACH-000223
HCC1954	SRR8616174	ACH-000859
HCC202	SRR8616175	ACH-000725
HCC2108	SRR8615999	ACH-000314
HCC2157	SRR8615891	ACH-000691
HCC2218	SRR8616001	ACH-000755
HCC2279	SRR8616000	ACH-000731
HCC2429	SRR8615995	ACH-000143
HCC2450	SRR8615994	ACH-000975
HCC2814	SRR8615997	ACH-000690
HCC2935	SRR8615996	ACH-000150
HCC33	SRR8615900	ACH-000515
HCC364	SRR8615897	ACH-000575
HCC366	SRR8615457	ACH-000840
HCC38	SRR8615458	ACH-000276
HCC4006	SRR8615455	ACH-000066
HCC44	SRR8615456	ACH-000667
HCC461	SRR8615453	ACH-000339
HCC515	SRR8615454	ACH-000872
HCC56	SRR8615451	ACH-000467
HCC70	SRR8615452	ACH-000668
HCC78	SRR8615460	ACH-000562
HCC827GR5	SRR8615461	ACH-000029
HCC827	SRR8615284	ACH-000012
HCC95	SRR8615283	ACH-000454
HCT116	SRR8615282	ACH-000971
HCT15	SRR8615281	ACH-000997
HDLM2	SRR8615280	ACH-000267
HDMYZ	SRR8615279	ACH-000190
HDQP1	SRR8615278	ACH-000643
HEC108	SRR8615277	ACH-000990
HEC151	SRR8615276	ACH-000972
HEC1A	SRR8615275	ACH-000954
HEC1B	SRR8615621	ACH-000941
HEC251	SRR8615622	ACH-000996
HEC265	SRR8615623	ACH-000946
HEC50B	SRR8615588	ACH-000831
HEC59	SRR8615625	ACH-000994
HEC6	SRR8615626	ACH-000984
HEKTE	SRR8615627	ACH-000049
HEL9217	SRR8615628	ACH-000005
HELA	SRR8615629	ACH-001086
HEL	SRR8615630	ACH-000004
HEP3B217	SRR8616130	ACH-000625
HEPG2	SRR8616129	ACH-000739
HEYA8	SRR8616132	ACH-000542
HGC27	SRR8616131	ACH-000847
HH	SRR8616134	ACH-000061
HL60	SRR8616133	ACH-000002
HLFA	SRR8616136	ACH-000797
HLF	SRR8616135	ACH-000393
HMC18	SRR8616127	ACH-000721
HMCB	SRR8616126	ACH-000931
HMEL	SRR8616207	ACH-000642
HNT34	SRR8616208	ACH-000299
HOP62	SRR8616205	ACH-000861
HOP92	SRR8616206	ACH-000825
HOS	SRR8616211	ACH-000613
HPAC	SRR8616212	ACH-000270
HPAFII	SRR8616209	ACH-000094
HPBALL	SRR8616210	ACH-000942
HS172T	SRR8616203	ACH-000088
HS229T	SRR8616204	ACH-000131
HS255T	SRR8615417	ACH-000199
HS274T	SRR8615416	ACH-000134
HS281T	SRR8615415	ACH-000083
HS294T	SRR8615414	ACH-000014
HS343T	SRR8615421	ACH-000184
HS578T	SRR8615420	ACH-000148
HS600T	SRR8615419	ACH-000240
HS606T	SRR8615418	ACH-000540
HS611T	SRR8615966	ACH-000069
HS616T	SRR8615424	ACH-000063
HS618T	SRR8615782	ACH-000539
HS675T	SRR8615783	ACH-000214
HS683	SRR8615784	ACH-000067
HS688AT	SRR8615785	ACH-000306
HS695T	SRR8615778	ACH-000799
HS698T	SRR8615779	ACH-000850
HS706T	SRR8615780	ACH-000071
HS729	SRR8615781	ACH-000133
HS737T	SRR8615790	ACH-000185
HS739T	SRR8615791	ACH-000413
HS742T	SRR8615321	ACH-000230
