ABC1	ENST00000184956
ABCA1	ENST00000374736
ABCA2	ENST00000341511
ABCB11	ENST00000650372
ABCB1	ENST00000622132
ABCB6	ENST00000265316
ABCC11	ENST00000356608
ABCC1	ENST00000399410
ABCC2	ENST00000647814
ABCC4	ENST00000645237
ABCC5	ENST00000334444
ABCC6	ENST00000205557
ABCC8	ENST00000389817
ABCD1	ENST00000218104
ABCD2	ENST00000308666
ABCD3	ENST00000370214
ABCG2	ENST00000237612
ABCG5	ENST00000405322
ABHD10	ENST00000273359
ACADM	ENST00000370841
ACADS	ENST00000242592
ACADVL	ENST00000356839
ACAT1	ENST00000265838
ACO1	ENST00000309951
ACTL6B	ENST00000160382
ACTN2	ENST00000366578
ACTR5	ENST00000243903
AD023	ENST00000325102
ADA	ENST00000372874
ADAMTSL1	ENST00000380548
ADAT1	ENST00000564657
ADCY8	ENST00000286355
ADCYAP1	ENST00000450565
ADI1	ENST00000327435
ADIPOR2	ENST00000357103
ADM	ENST00000278175
ADORA2B	ENST00000304222
ADPRH	ENST00000357003
ADRB1	ENST00000369295
AES	ENST00000327141
AFP	ENST00000395792
AGPAT4	ENST00000320285
AGPAT5	ENST00000285518
AHSG	ENST00000411641
AICDA	ENST00000229335
ALDH4A1	ENST00000375341
ALG9	ENST00000616540
ALKBH	ENST00000216489
ALOX12B	ENST00000647874
ALOX15	ENST00000293761
ALPI	ENST00000295463
AMBP	ENST00000265132
AMD1	ENST00000368885
AMT	ENST00000273588
ANGPT2	ENST00000629816
ANGPTL7	ENST00000376819
ANKRD2	ENST00000370655
ANXA13	ENST00000419625
ANXA1	ENST00000257497
ANXA5	ENST00000296511
AOX1	ENST00000374700
AP1S1	ENST00000337619
AP4B1	ENST00000369569
APC	ENST00000257430
APG3L	ENST00000283290
APG9L1	ENST00000361242
APH1A	ENST00000369109
APOBEC3G	ENST00000407997
APOB	ENST00000233242
APOF	ENST00000398189
APOH	ENST00000205948
ARF5	ENST00000000233
ARFGEF1	ENST00000262215
ARHGDIB	ENST00000228945
ARMET	ENST00000528157
ASB4	ENST00000325885
ASPA	ENST00000263080
ASPSCR1	ENST00000306739
ASRGL1	ENST00000415229
ATF6	ENST00000367942
ATM	ENST00000675843
ATOH1	ENST00000306011
ATP1A2	ENST00000361216
ATP1B2	ENST00000250111
ATP6AP1	ENST00000369762
ATP6V1B1	ENST00000234396
B2M	ENST00000648006
BACH2	ENST00000257749
BAG1	ENST00000634734
BAG4	ENST00000287322
BAIAP2	ENST00000428708
BARD1	ENST00000260947
BCL2A1	ENST00000267953
BECN1	ENST00000590099
BET1L	ENST00000382762
BEX1	ENST00000372728
BHMT2	ENST00000255192
BIRC2	ENST00000227758
BIRC5	ENST00000350051
BLM	ENST00000355112
BM88	ENST00000330106
BMP3	ENST00000282701
BPHL	ENST00000380379
BRCA2	ENST00000380152
BRDG1	ENST00000265404
BRPF1	ENST00000383829
BRS3	ENST00000370648
BTBD15	ENST00000357899
BTD	ENST00000643237
BTN1A1	ENST00000684113
BTNL2	ENST00000454136
BYSL	ENST00000230340
C10orf3	ENST00000371485
C10orf92	ENST00000368586
C10orf93	ENST00000368586
C11orf13	ENST00000397583
C11orf15	ENST00000534025
C11orf9	ENST00000278836
C12orf8	ENST00000261735
C13orf23	ENST00000352251
C14orf103	ENST00000359933
C14orf122	ENST00000216799
C14orf161	ENST00000256343
C15orf16	ENST00000307050
C16orf24	ENST00000569529
C16orf33	ENST00000293861
C16orf3	ENST00000408886
C17orf40	ENST00000261708
C1orf103	ENST00000369763
C1orf113	ENST00000453908
C1orf61	ENST00000673141
C20orf116	ENST00000354488
C21orf7	ENST00000399928
C2GNT3	ENST00000652361
C3orf18	ENST00000357203
C4BPB	ENST00000367078
C6orf210	ENST00000369037
C6orf47	ENST00000375911
C6orf78	ENST00000368596
C9orf121	ENST00000375854
C9orf76	ENST00000445877
CA10	ENST00000451037
CABC1	ENST00000366777
CACNA2D2	ENST00000424201
CACNA2D3	ENST00000474759
CACNG1	ENST00000226021
CACNG3	ENST00000005284
CAD	ENST00000264705
CALB1	ENST00000265431
CALR	ENST00000316448
CAP1	ENST00000372805
CARD14	ENST00000648509
CARD4	ENST00000222823
CASP5	ENST00000260315
CASZ1	ENST00000377022
CCDC15	ENST00000344762
CCL20	ENST00000358813
CCNA2	ENST00000274026
CCNB2	ENST00000288207
CCNL2	ENST00000400809
CCR3	ENST00000395940
CCR7	ENST00000246657
CCS	ENST00000533244
CD180	ENST00000256447
CD300LG	ENST00000317310
CD3D	ENST00000300692
CD3E	ENST00000361763
CD58	ENST00000369489
CD68	ENST00000250092
CD80	ENST00000264246
CD81	ENST00000263645
CD86	ENST00000330540
CDA	ENST00000375071
CDC45L	ENST00000263201
CDCP1	ENST00000296129
CDH19	ENST00000262150
CDH1	ENST00000261769
CDK4	ENST00000257904
CDK5	ENST00000485972
CDK5R1	ENST00000313401
CDK8	ENST00000381527
CDK9	ENST00000373264
CDKN1A	ENST00000244741
CDX4	ENST00000373514
CEACAM5	ENST00000221992
CELSR1	ENST00000674500
CENPA	ENST00000335756
CENPF	ENST00000366955
CENTD3	ENST00000239440
CFLAR	ENST00000309955
CGA	ENST00000627148
CGI-115	ENST00000366932
CGI-119	ENST00000358230
CHAC1	ENST00000617768
CHAD	ENST00000508540
CHCHD2	ENST00000395422
CHEK1	ENST00000438015
CHGA	ENST00000216492
CHGB	ENST00000378961
ChGn	ENST00000692225
CHMP2B	ENST00000263780
CHRNA4	ENST00000370263
CHRNG	ENST00000651502
CHST1	ENST00000308064
CIRBP	ENST00000587896
CKAP2	ENST00000258607
CKS2	ENST00000314355
CLCA4	ENST00000370563
CLCC1	ENST00000369969
CLCN5	ENST00000376091
CLEC3B	ENST00000296130
CLST11240	ENST00000253410
CLUAP1	ENST00000576634
CNIH	ENST00000216416
COASY	ENST00000393818
COG2	ENST00000366669
COL1A1	ENST00000225964
COMMD3	ENST00000376836
COX15	ENST00000016171
COX7A1	ENST00000292907
CPA1	ENST00000011292
CPB1	ENST00000282957
CP	ENST00000264613
CRELD1	ENST00000452070
CRH	ENST00000276571
CRISP3	ENST00000263045
CRLF1	ENST00000392386
CRLF3	ENST00000324238
CRP	ENST00000255030
CRYGB	ENST00000260988
CSF1R	ENST00000675795
CSK	ENST00000220003
CSNK2A2	ENST00000262506
CSPG3	ENST00000252575
CSPP	ENST00000678616
CTNNB1	ENST00000349496
CTPS	ENST00000650070
CUEDC2	ENST00000369937
CUL4A	ENST00000375440
CX3CL1	ENST00000006053
CXorf2	ENST00000617225
CYP1A1	ENST00000379727
CYP1A2	ENST00000343932
CYP1B1	ENST00000610745
CYP2A13	ENST00000330436
CYP2B6	ENST00000324071
CYP2C9	ENST00000260682
CYP2D6	ENST00000645361
CYP2F1	ENST00000331105
CYP2J2	ENST00000371204
CYP3A4	ENST00000651514
CYP3A5	ENST00000222982
CYP3A7	ENST00000336374
CYP46A1	ENST00000261835
CYP4A11	ENST00000310638
CYR61	ENST00000451137
DAB1	ENST00000371236
DAD1	ENST00000250498
DAF	ENST00000367064
DAP	ENST00000230895
DAPK3	ENST00000545797
DCC1	ENST00000313655
DCC	ENST00000442544
DCD	ENST00000293371
DCT	ENST00000377028
DCXR	ENST00000306869
DDX41	ENST00000330503
DEFB125	ENST00000382410
DEFB4	ENST00000302247
DELGEF	ENST00000265965
DFFA	ENST00000377038
DGKG	ENST00000265022
DHDH	ENST00000221403
DHX15	ENST00000336812
DIRAS2	ENST00000375765
DKFZp434H2215	ENST00000158009
DKFZP586A0522	ENST00000332160
DKFZp762E1312	ENST00000411486
DLEU1	ENST00000490577
DLG4	ENST00000399506
DLG7	ENST00000247191
DMXL1	ENST00000539542
DNAJB1	ENST00000254322
DNAJB9	ENST00000249356
DNAJC4	ENST00000628077
DNAJC7	ENST00000457167
DNCL1	ENST00000242577
DNMT1	ENST00000359526
DPP4	ENST00000360534
DPPA4	ENST00000335658
DPYD	ENST00000370192
DRD1IP	ENST00000252939
DRD5	ENST00000304374
DSG3	ENST00000257189
DTL	ENST00000366991
DUSP21	ENST00000339042
DUSP3	ENST00000226004
DYSF	ENST00000410020
E2F2	ENST00000361729
ECGF1	ENST00000252029
EDN1	ENST00000379375
EFTUD1	ENST00000268206
EGF	ENST00000265171
EGFR	ENST00000275493
EIF2AK2	ENST00000233057
EIF2AK3	ENST00000303236
EIF4G2	ENST00000339995
ELAVL1	ENST00000407627
ELAVL4	ENST00000371824
ELK1	ENST00000376983
ELL3	ENST00000319359
ELSPBP1	ENST00000339841
EML2	ENST00000245925
