Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR8615542	RNAseq of NCIH2882_LUNG	Illumina HiSeq 2500	192415	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615542/SRR8615542.sra	SRR8615542.sra	SRR8615542_RNAseq_of_NCIH2882_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615542/SRR8615542_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/002/SRR8615542/SRR8615542_1.fastq.gz	SRR8615542_1.fastq.gz	SRR8615542_RNAseq_of_NCIH2882_LUNG_1.fastq.gz
SRR8615542	RNAseq of NCIH2882_LUNG	Illumina HiSeq 2500	192415	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615542/SRR8615542.sra	SRR8615542.sra	SRR8615542_RNAseq_of_NCIH2882_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615542/SRR8615542_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/002/SRR8615542/SRR8615542_2.fastq.gz	SRR8615542_2.fastq.gz	SRR8615542_RNAseq_of_NCIH2882_LUNG_2.fastq.gz
SRR8615535	RNAseq of NCIH2405_LUNG	Illumina HiSeq 2500	194705	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615535/SRR8615535.sra	SRR8615535.sra	SRR8615535_RNAseq_of_NCIH2405_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615535/SRR8615535_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/005/SRR8615535/SRR8615535_1.fastq.gz	SRR8615535_1.fastq.gz	SRR8615535_RNAseq_of_NCIH2405_LUNG_1.fastq.gz
SRR8615535	RNAseq of NCIH2405_LUNG	Illumina HiSeq 2500	194705	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615535/SRR8615535.sra	SRR8615535.sra	SRR8615535_RNAseq_of_NCIH2405_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615535/SRR8615535_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/005/SRR8615535/SRR8615535_2.fastq.gz	SRR8615535_2.fastq.gz	SRR8615535_RNAseq_of_NCIH2405_LUNG_2.fastq.gz
SRR8615536	RNAseq of NCIH2444_LUNG	Illumina HiSeq 2500	221235	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615536/SRR8615536.sra	SRR8615536.sra	SRR8615536_RNAseq_of_NCIH2444_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615536/SRR8615536_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/006/SRR8615536/SRR8615536_1.fastq.gz	SRR8615536_1.fastq.gz	SRR8615536_RNAseq_of_NCIH2444_LUNG_1.fastq.gz
SRR8615536	RNAseq of NCIH2444_LUNG	Illumina HiSeq 2500	221235	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615536/SRR8615536.sra	SRR8615536.sra	SRR8615536_RNAseq_of_NCIH2444_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615536/SRR8615536_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/006/SRR8615536/SRR8615536_2.fastq.gz	SRR8615536_2.fastq.gz	SRR8615536_RNAseq_of_NCIH2444_LUNG_2.fastq.gz
SRR8615540	RNAseq of NCIH28_PLEURA	Illumina HiSeq 2500	190835	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615540/SRR8615540.sra	SRR8615540.sra	SRR8615540_RNAseq_of_NCIH28_PLEURA.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615540/SRR8615540_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/000/SRR8615540/SRR8615540_1.fastq.gz	SRR8615540_1.fastq.gz	SRR8615540_RNAseq_of_NCIH28_PLEURA_1.fastq.gz
SRR8615540	RNAseq of NCIH28_PLEURA	Illumina HiSeq 2500	190835	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615540/SRR8615540.sra	SRR8615540.sra	SRR8615540_RNAseq_of_NCIH28_PLEURA.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615540/SRR8615540_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/000/SRR8615540/SRR8615540_2.fastq.gz	SRR8615540_2.fastq.gz	SRR8615540_RNAseq_of_NCIH28_PLEURA_2.fastq.gz
SRR8615534	RNAseq of CALU3_LUNG	Illumina HiSeq 2500	201163	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615534/SRR8615534.sra	SRR8615534.sra	SRR8615534_RNAseq_of_CALU3_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615534/SRR8615534_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/004/SRR8615534/SRR8615534_1.fastq.gz	SRR8615534_1.fastq.gz	SRR8615534_RNAseq_of_CALU3_LUNG_1.fastq.gz
SRR8615534	RNAseq of CALU3_LUNG	Illumina HiSeq 2500	201163	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615534/SRR8615534.sra	SRR8615534.sra	SRR8615534_RNAseq_of_CALU3_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615534/SRR8615534_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/004/SRR8615534/SRR8615534_2.fastq.gz	SRR8615534_2.fastq.gz	SRR8615534_RNAseq_of_CALU3_LUNG_2.fastq.gz
